Year,Make,Model,Engine_Size,Mileage,Transmission,Fuel_Type,Owner_Type,Price
2018,Toyota,Camry,5.7,6436,Automatic,Diesel,Third,14592.84
2023,Toyota,Camry,2.0,51404,Manual,Petrol,Third,11466.6
2015,Toyota,Camry,3.5,105946,Manual,Petrol,First,7641.08
2024,Toyota,Camry,3.5,21589,Automatic,Diesel,First,25180.94
2017,Toyota,Camry,4.0,99752,Manual,Petrol,Third,8512.66
2015,Toyota,Camry,3.5,57240,Manual,Electric,First,15561.41
2015,Toyota,Camry,2.0,37584,Manual,Electric,Second,10875.22
2022,Toyota,Camry,2.5,103199,Manual,Hybrid,Second,15439.12
2014,Toyota,Camry,2.0,69320,Manual,Petrol,First,4598.53
2023,Toyota,Camry,5.7,108647,Automatic,Petrol,Second,19541.03
2021,Toyota,Camry,4.0,91891,Manual,Electric,First,22006.77
2016,Toyota,Camry,4.0,129995,Automatic,Hybrid,Second,11446.24
2019,Toyota,Camry,3.5,35097,Manual,Hybrid,Third,13511.77
2018,Toyota,Camry,2.5,96848,Manual,Electric,Second,13636.3
2018,Toyota,Camry,1.8,111211,Manual,Diesel,Third,5526.48
2018,Toyota,Camry,2.5,71027,Automatic,Petrol,First,13938.28
2016,Toyota,Camry,5.7,72678,Automatic,Electric,First,19926.77
2014,Toyota,Camry,3.5,114721,Manual,Electric,First,9884.04
2022,Toyota,Camry,2.0,93852,Manual,Petrol,Second,10725.49
2019,Toyota,Camry,1.8,103235,Automatic,Petrol,Second,9901.08
2018,Toyota,Camry,1.8,48543,Automatic,Petrol,First,13446.82
2019,Toyota,Camry,4.0,116429,Automatic,Electric,Third,13413.18
2017,Toyota,Camry,5.7,87664,Automatic,Diesel,First,15571.51
2013,Toyota,Camry,5.7,98981,Manual,Hybrid,First,10896.52
2017,Toyota,Camry,3.5,65752,Manual,Diesel,First,12746.35
2019,Toyota,Camry,2.0,26049,Manual,Petrol,Second,11610.97
2020,Toyota,Camry,4.0,19364,Manual,Hybrid,Third,15933.86
2014,Toyota,Camry,1.8,52115,Manual,Hybrid,Third,7038.14
2015,Toyota,Camry,3.5,94680,Automatic,Petrol,Third,7857.68
2023,Toyota,Camry,4.0,106691,Automatic,Petrol,First,18941.91
2024,Toyota,Camry,5.7,15161,Automatic,Electric,Second,28109.21
2015,Toyota,Camry,1.8,97297,Manual,Petrol,Second,3635.45
2015,Toyota,Camry,1.8,23358,Manual,Diesel,First,10579.41
2014,Toyota,Corolla,4.0,14338,Automatic,Hybrid,First,14759.75
2022,Toyota,Corolla,4.0,21888,Manual,Hybrid,Third,17784.3
2013,Toyota,Corolla,2.5,88999,Manual,Diesel,First,4727.76
2017,Toyota,Corolla,3.5,39208,Automatic,Petrol,Third,11386.15
2021,Toyota,Corolla,2.5,24352,Manual,Petrol,First,18170.85
2018,Toyota,Corolla,4.0,69234,Automatic,Petrol,First,15189.54
2021,Toyota,Corolla,2.5,39939,Automatic,Electric,Second,19261.39
2022,Toyota,Corolla,4.0,129020,Automatic,Hybrid,First,22641.45
2016,Toyota,Corolla,2.5,90508,Manual,Petrol,Third,5487.44
2017,Toyota,Corolla,2.0,24689,Automatic,Diesel,Third,10082.94
2022,Toyota,Corolla,4.0,26714,Automatic,Petrol,Third,16576.32
2013,Toyota,Corolla,4.0,47261,Automatic,Diesel,First,11196.02
2020,Toyota,Corolla,2.0,65856,Manual,Electric,Second,15616.81
2018,Toyota,Corolla,2.5,31295,Manual,Petrol,First,11879.69
2018,Toyota,Corolla,3.5,94792,Automatic,Electric,First,16829.36
2024,Toyota,Corolla,2.5,75124,Manual,Diesel,Third,15178.96
2023,Toyota,Corolla,2.0,58129,Automatic,Electric,Second,20055.52
2024,Toyota,Corolla,5.7,126961,Manual,Hybrid,First,24467.45
2021,Toyota,Corolla,1.8,42298,Automatic,Hybrid,Second,16274.54
2021,Toyota,Corolla,1.8,106333,Automatic,Diesel,Second,10678.4
2024,Toyota,Corolla,4.0,25700,Automatic,Electric,First,29320.74
2015,Toyota,Corolla,3.5,113008,Manual,Electric,First,12646.34
2013,Toyota,Corolla,5.7,55638,Automatic,Petrol,Second,10954.9
2021,Toyota,Corolla,2.5,81859,Manual,Hybrid,Second,15206.3
2024,Toyota,Corolla,3.5,122156,Manual,Diesel,Second,15241.99
2024,Toyota,Corolla,3.5,106268,Automatic,Hybrid,Third,16416.9
2018,Toyota,Corolla,1.8,41088,Automatic,Petrol,First,12187.91
2015,Toyota,Corolla,4.0,48445,Manual,Electric,First,16164.93
2021,Toyota,Corolla,2.0,68545,Manual,Diesel,Second,12047.91
2020,Toyota,Corolla,1.8,64813,Automatic,Diesel,Third,11379.21
2013,Toyota,Corolla,2.5,65292,Manual,Electric,First,10175.23
2015,Toyota,Corolla,1.8,3404,Manual,Electric,Second,13204.3
2024,Toyota,Corolla,1.8,63100,Automatic,Petrol,Second,16874.39
2017,Toyota,Corolla,4.0,7809,Manual,Electric,First,20594.44
2017,Toyota,Corolla,5.7,124288,Manual,Petrol,Third,8401.21
2013,Toyota,Corolla,1.8,48543,Manual,Diesel,Third,3642.84
2020,Toyota,Corolla,2.0,117937,Manual,Diesel,Second,9940.02
2013,Toyota,Corolla,5.7,76963,Automatic,Diesel,Second,11098.3
2023,Toyota,Corolla,1.8,91464,Manual,Electric,Third,16219.75
2014,Toyota,Corolla,2.5,56682,Automatic,Diesel,Second,7624.39
2018,Toyota,Corolla,2.0,58393,Manual,Diesel,Third,9512.54
2016,Toyota,Corolla,1.8,56413,Automatic,Hybrid,Third,9138.34
2024,Toyota,Corolla,5.7,73390,Manual,Electric,First,28601.15
2024,Toyota,Corolla,3.5,128911,Automatic,Diesel,Second,18221.29
2017,Toyota,Corolla,2.0,72836,Manual,Electric,Third,10161.3
2021,Toyota,Corolla,2.5,14637,Manual,Hybrid,First,20316.75
2015,Toyota,Corolla,2.5,36434,Automatic,Hybrid,Second,10205.65
2017,Toyota,Corolla,4.0,90505,Manual,Diesel,First,13013.5
2018,Toyota,Corolla,4.0,42749,Automatic,Petrol,First,16937.47
2013,Toyota,Corolla,5.7,94865,Automatic,Electric,First,15136.97
2022,Toyota,Corolla,1.8,25574,Automatic,Diesel,Third,13049.62
2013,Toyota,Corolla,2.0,67291,Automatic,Hybrid,First,8985.86
2015,Toyota,Corolla,4.0,90731,Automatic,Electric,Third,11150.47
2024,Toyota,Corolla,5.7,47247,Manual,Petrol,Second,21012.01
2023,Toyota,Corolla,2.5,8126,Automatic,Electric,Third,21969.76
2014,Toyota,Corolla,2.0,91869,Automatic,Electric,Third,9089.79
2021,Toyota,Corolla,4.0,13267,Manual,Electric,First,23284.86
2016,Toyota,Corolla,1.8,111099,Manual,Electric,First,11362.06
2014,Toyota,Corolla,3.5,121894,Manual,Diesel,Third,4481.0
2015,Toyota,Corolla,2.0,103776,Automatic,Diesel,Second,8231.45
2014,Toyota,Corolla,2.5,78703,Automatic,Petrol,Second,5117.89
2018,Toyota,Corolla,4.0,119421,Manual,Electric,Second,14670.36
2023,Toyota,Corolla,5.7,79125,Automatic,Hybrid,Third,19887.74
2018,Toyota,Corolla,5.7,128808,Manual,Hybrid,Second,14442.71
2015,Toyota,Corolla,5.7,106864,Manual,Electric,Third,9971.05
2024,Toyota,Corolla,4.0,9469,Manual,Diesel,Third,18216.32
2016,Toyota,Corolla,1.8,48587,Automatic,Hybrid,Third,10375.84
2018,Toyota,Corolla,4.0,4917,Automatic,Electric,First,23431.1
2023,Toyota,Corolla,2.5,23128,Manual,Diesel,Second,19277.46
2014,Toyota,Corolla,4.0,8287,Manual,Hybrid,First,15854.11
2017,Toyota,Corolla,1.8,22216,Automatic,Electric,Third,10369.3
2013,Toyota,Corolla,4.0,99573,Manual,Hybrid,Second,7066.31
2017,Toyota,Corolla,2.5,73792,Manual,Hybrid,Third,9422.32
2018,Toyota,Corolla,3.5,8951,Automatic,Hybrid,Third,14138.9
2021,Toyota,Corolla,4.0,124101,Manual,Diesel,Third,12059.3
2023,Toyota,Corolla,5.7,108881,Manual,Hybrid,First,23555.87
2022,Toyota,Corolla,1.8,128329,Manual,Hybrid,Third,12051.0
2018,Toyota,Corolla,1.8,90062,Automatic,Electric,First,16303.52
2021,Toyota,Corolla,1.8,37016,Automatic,Electric,Second,19451.63
2015,Toyota,Corolla,2.5,44157,Manual,Electric,Third,9909.54
2015,Toyota,RAV4,2.0,90487,Manual,Electric,Third,8518.68
2019,Toyota,RAV4,2.5,101723,Automatic,Diesel,First,15924.7
2013,Toyota,RAV4,4.0,67484,Automatic,Electric,First,14005.05
2022,Toyota,RAV4,4.0,115250,Manual,Petrol,Second,13909.61
2018,Toyota,RAV4,4.0,26710,Automatic,Hybrid,First,19628.71
2020,Toyota,RAV4,4.0,129108,Automatic,Hybrid,First,17414.79
2014,Toyota,RAV4,2.5,19478,Automatic,Electric,Second,11943.84
2023,Toyota,RAV4,5.7,17153,Manual,Diesel,Second,20643.11
2020,Toyota,RAV4,2.0,79077,Automatic,Hybrid,Second,14864.86
2021,Toyota,RAV4,1.8,59942,Manual,Hybrid,Third,14995.28
2024,Toyota,RAV4,3.5,40219,Manual,Hybrid,First,24836.41
2022,Toyota,RAV4,1.8,110099,Automatic,Diesel,First,16673.94
2018,Toyota,RAV4,2.5,108500,Manual,Hybrid,First,12768.8
2017,Toyota,RAV4,4.0,104721,Manual,Hybrid,Second,12595.45
2019,Toyota,RAV4,1.8,104376,Automatic,Diesel,Third,9645.96
2021,Toyota,RAV4,4.0,100416,Manual,Hybrid,First,17980.52
2017,Toyota,RAV4,2.0,16224,Automatic,Electric,First,16630.87
2023,Toyota,RAV4,1.8,9783,Automatic,Electric,Third,15888.88
2015,Toyota,RAV4,5.7,114255,Automatic,Electric,Second,13922.36
2022,Toyota,RAV4,3.5,19241,Automatic,Petrol,Third,16266.76
2013,Toyota,RAV4,3.5,22816,Automatic,Hybrid,Second,11129.62
2020,Toyota,RAV4,1.8,23806,Automatic,Hybrid,First,20224.44
2019,Toyota,RAV4,2.5,27442,Manual,Electric,Second,15933.18
2020,Toyota,RAV4,2.5,21449,Automatic,Diesel,Third,12721.3
2014,Toyota,RAV4,2.0,9645,Manual,Petrol,Second,8244.62
2016,Toyota,RAV4,1.8,55487,Automatic,Electric,Third,10712.24
2015,Toyota,RAV4,2.0,102785,Automatic,Diesel,Second,6515.61
2024,Toyota,RAV4,2.0,88382,Automatic,Hybrid,First,21902.09
2021,Toyota,RAV4,2.5,115599,Automatic,Electric,Third,13817.08
2013,Toyota,RAV4,3.5,104358,Manual,Diesel,Third,4915.73
2020,Toyota,RAV4,5.7,78039,Manual,Diesel,Third,13711.45
2019,Toyota,RAV4,2.0,9150,Manual,Electric,First,18382.22
2019,Toyota,RAV4,4.0,56394,Manual,Petrol,Third,9617.05
2014,Toyota,RAV4,1.8,26236,Manual,Electric,Second,11831.19
2014,Toyota,RAV4,2.5,105870,Automatic,Hybrid,First,10481.89
2021,Toyota,RAV4,2.0,65516,Manual,Electric,Second,16056.42
2018,Toyota,RAV4,3.5,32975,Automatic,Diesel,Second,15214.99
2013,Toyota,RAV4,2.0,38954,Automatic,Diesel,First,8053.98
2020,Toyota,RAV4,2.0,109732,Automatic,Electric,First,18224.5
2016,Toyota,RAV4,2.0,109937,Automatic,Petrol,Second,6653.56
2019,Toyota,RAV4,4.0,84994,Manual,Diesel,First,15292.83
2014,Toyota,RAV4,1.8,25180,Automatic,Diesel,Second,9377.12
2024,Toyota,RAV4,4.0,43809,Manual,Petrol,Third,17476.78
2021,Toyota,RAV4,4.0,77182,Manual,Petrol,First,18546.17
2022,Toyota,RAV4,4.0,92563,Manual,Diesel,Second,15647.65
2016,Toyota,RAV4,2.5,81617,Automatic,Petrol,Third,7310.53
2020,Toyota,RAV4,2.5,92599,Manual,Petrol,Third,9880.92
2014,Toyota,RAV4,5.7,97613,Automatic,Hybrid,First,12967.26
2022,Toyota,RAV4,3.5,77478,Manual,Electric,Third,16506.63
2023,Toyota,RAV4,4.0,41890,Manual,Petrol,Second,18114.15
2014,Toyota,RAV4,4.0,103424,Automatic,Hybrid,First,13252.52
2020,Toyota,RAV4,2.0,113616,Automatic,Electric,Third,12265.21
2014,Toyota,RAV4,4.0,89123,Manual,Electric,Second,11796.97
2013,Toyota,RAV4,4.0,24520,Manual,Petrol,Third,6059.61
2013,Toyota,RAV4,3.5,4341,Manual,Hybrid,Third,9530.81
2019,Toyota,RAV4,4.0,70957,Manual,Diesel,First,16418.52
2014,Toyota,RAV4,1.8,123075,Automatic,Electric,Second,8355.89
2022,Toyota,RAV4,1.8,15182,Manual,Petrol,Second,14592.58
2022,Toyota,RAV4,5.7,40198,Automatic,Electric,First,28748.58
2023,Toyota,RAV4,4.0,9737,Automatic,Diesel,Third,17753.74
2015,Toyota,RAV4,2.0,20850,Manual,Electric,First,12679.34
2024,Toyota,RAV4,3.5,60132,Manual,Electric,First,27117.36
2023,Toyota,RAV4,2.0,23662,Automatic,Hybrid,Third,17142.65
2018,Toyota,RAV4,1.8,10564,Manual,Petrol,First,10980.72
2022,Toyota,RAV4,3.5,83765,Manual,Electric,Third,16187.22
2015,Toyota,RAV4,2.5,42974,Manual,Hybrid,First,12649.97
2013,Toyota,RAV4,4.0,76972,Manual,Petrol,Third,4358.58
2019,Toyota,RAV4,3.5,15676,Automatic,Diesel,First,18642.25
2015,Toyota,RAV4,4.0,36933,Manual,Diesel,Second,9451.55
2021,Toyota,RAV4,1.8,93093,Automatic,Petrol,Third,9890.3
2013,Toyota,RAV4,1.8,92431,Manual,Hybrid,Third,4273.64
2020,Toyota,RAV4,5.7,129295,Automatic,Diesel,First,18095.17
2014,Toyota,RAV4,1.8,27262,Manual,Hybrid,Third,8231.21
2018,Toyota,RAV4,4.0,67754,Automatic,Diesel,Second,13496.94
2023,Toyota,RAV4,2.0,118512,Manual,Petrol,First,15463.27
2019,Toyota,RAV4,1.8,49600,Automatic,Hybrid,Second,15453.36
2013,Toyota,RAV4,4.0,45874,Manual,Electric,Second,11461.97
2015,Toyota,RAV4,2.5,64413,Automatic,Hybrid,First,12330.77
2021,Toyota,RAV4,1.8,105979,Manual,Petrol,Second,8757.61
2023,Toyota,RAV4,3.5,100820,Automatic,Electric,First,23666.67
2014,Toyota,Highlander,3.5,97377,Automatic,Electric,First,12489.42
2020,Toyota,Highlander,3.5,36742,Manual,Hybrid,Third,14307.29
2017,Toyota,Highlander,2.0,44873,Manual,Petrol,First,11201.83
2015,Toyota,Highlander,2.0,74719,Automatic,Petrol,First,8203.55
2013,Toyota,Highlander,5.7,89231,Automatic,Hybrid,First,13381.15
2023,Toyota,Highlander,4.0,100624,Automatic,Diesel,Third,15033.06
2023,Toyota,Highlander,5.7,56947,Automatic,Petrol,Third,17611.27
2019,Toyota,Highlander,2.0,108865,Manual,Electric,First,15845.85
2019,Toyota,Highlander,2.0,21787,Manual,Diesel,First,14625.38
2023,Toyota,Highlander,1.8,37832,Manual,Electric,Second,19490.79
2024,Toyota,Highlander,4.0,4007,Manual,Electric,Second,24471.98
2014,Toyota,Highlander,3.5,101875,Automatic,Diesel,First,8778.08
2018,Toyota,Highlander,3.5,75595,Manual,Hybrid,Second,13992.98
2018,Toyota,Highlander,1.8,125901,Manual,Hybrid,Third,8874.06
2014,Toyota,Highlander,2.0,26821,Manual,Electric,First,14145.52
2016,Toyota,Highlander,4.0,30083,Automatic,Petrol,Third,9570.12
2013,Toyota,Highlander,5.7,34598,Automatic,Hybrid,Third,11278.68
2016,Toyota,Highlander,1.8,92186,Automatic,Petrol,Third,4969.0
2019,Toyota,Highlander,4.0,78932,Automatic,Hybrid,Second,15535.22
2023,Toyota,Highlander,2.5,55930,Automatic,Diesel,First,21410.83
2017,Toyota,Highlander,4.0,31602,Manual,Diesel,Third,11547.56
2014,Toyota,Highlander,4.0,51290,Manual,Petrol,First,9162.49
2020,Toyota,Highlander,3.5,29385,Automatic,Hybrid,Third,15813.36
2023,Toyota,Highlander,5.7,88553,Manual,Electric,Third,19669.55
2024,Toyota,Highlander,4.0,8655,Manual,Diesel,Third,17605.27
2019,Toyota,Highlander,1.8,31541,Manual,Hybrid,First,14931.21
2018,Toyota,Highlander,1.8,124787,Automatic,Diesel,Second,9852.91
2020,Toyota,Highlander,2.5,32759,Automatic,Petrol,First,15353.63
2014,Toyota,Highlander,5.7,33015,Manual,Diesel,Third,8387.66
2021,Toyota,Highlander,1.8,54195,Manual,Petrol,Third,11305.96
2018,Toyota,Highlander,2.5,49167,Automatic,Petrol,First,13432.3
2018,Toyota,Highlander,5.7,99347,Manual,Petrol,Second,12806.55
2020,Toyota,Highlander,2.0,66483,Automatic,Diesel,First,15578.22
2013,Toyota,Highlander,4.0,115755,Manual,Diesel,Third,4073.27
2014,Toyota,Highlander,5.7,26398,Manual,Diesel,Second,11295.91
2019,Toyota,Highlander,3.5,65768,Manual,Electric,First,19834.6
2015,Toyota,Highlander,2.5,4925,Automatic,Diesel,First,12766.67
2014,Toyota,Highlander,3.5,123071,Manual,Diesel,Second,5135.84
2016,Toyota,Highlander,5.7,64550,Automatic,Electric,Third,15265.63
2018,Toyota,Highlander,2.0,84941,Manual,Electric,Third,12609.39
2021,Toyota,Highlander,3.5,98081,Manual,Electric,Second,16536.33
2019,Toyota,Highlander,4.0,73326,Manual,Electric,Second,16325.55
2018,Toyota,Highlander,2.0,19082,Manual,Petrol,First,11917.68
2015,Toyota,Highlander,2.5,48500,Automatic,Diesel,Third,7886.21
2013,Toyota,Highlander,3.5,129768,Manual,Petrol,Third,4041.61
2017,Toyota,Highlander,3.5,128659,Manual,Diesel,Second,8493.82
2013,Toyota,Highlander,2.5,7703,Automatic,Hybrid,Second,10174.75
2014,Toyota,Highlander,2.0,79707,Manual,Electric,Second,10282.71
2015,Toyota,Highlander,2.5,48241,Manual,Petrol,Third,7434.75
2013,Toyota,Highlander,2.5,22975,Manual,Hybrid,Second,9717.43
2019,Toyota,Highlander,2.0,110435,Manual,Diesel,Second,9881.63
2021,Toyota,Highlander,5.7,53677,Manual,Petrol,Third,14586.16
2020,Toyota,Highlander,1.8,104459,Manual,Electric,Second,12816.83
2024,Toyota,Highlander,2.0,67674,Automatic,Petrol,Third,15216.74
2013,Toyota,Highlander,3.5,64367,Manual,Petrol,Third,3506.72
2015,Toyota,Highlander,5.7,85189,Manual,Diesel,First,12557.28
2022,Toyota,Highlander,3.5,114453,Automatic,Petrol,First,18235.91
2013,Toyota,Highlander,1.8,85495,Manual,Hybrid,First,5167.4
2023,Toyota,Highlander,4.0,54886,Automatic,Hybrid,First,25681.05
2020,Toyota,Highlander,3.5,86310,Automatic,Diesel,Third,13298.74
2016,Toyota,Highlander,2.0,128261,Manual,Petrol,Third,3054.88
2017,Toyota,Highlander,4.0,106482,Automatic,Petrol,First,12987.04
2015,Toyota,Highlander,5.7,28611,Manual,Hybrid,First,18840.06
2014,Toyota,Highlander,1.8,92393,Automatic,Petrol,Third,4059.26
2020,Toyota,Highlander,2.5,71785,Automatic,Hybrid,Second,16585.17
2022,Toyota,Highlander,3.5,7470,Manual,Diesel,First,20495.28
2013,Toyota,Highlander,4.0,108823,Manual,Petrol,Third,4659.19
2019,Toyota,Highlander,2.0,128354,Manual,Diesel,Second,8155.52
2014,Toyota,Highlander,1.8,27089,Manual,Electric,First,13011.41
2015,Toyota,Highlander,5.7,22508,Manual,Petrol,First,15378.01
2022,Toyota,Highlander,5.7,39059,Manual,Diesel,Second,20669.72
2021,Toyota,Highlander,4.0,30208,Automatic,Petrol,Third,14409.92
2021,Toyota,Highlander,2.5,28923,Manual,Petrol,Second,15361.64
2018,Toyota,Highlander,2.0,76297,Automatic,Petrol,Third,7454.6
2015,Toyota,Highlander,4.0,106754,Automatic,Hybrid,Second,10800.6
2013,Toyota,Highlander,3.5,129969,Automatic,Electric,First,10705.26
2015,Toyota,Highlander,3.5,34324,Automatic,Petrol,First,10100.93
2018,Toyota,Highlander,2.0,112834,Automatic,Hybrid,Second,13004.11
2022,Toyota,Highlander,2.0,104293,Automatic,Electric,First,20861.51
2018,Toyota,Highlander,3.5,34348,Automatic,Diesel,First,17829.59
2024,Toyota,Prius,4.0,84889,Manual,Petrol,Third,16930.95
2019,Toyota,Prius,5.7,84709,Manual,Hybrid,Third,14953.02
2023,Toyota,Prius,4.0,27596,Automatic,Electric,Third,20374.41
2015,Toyota,Prius,3.5,81612,Automatic,Diesel,Third,8366.82
2014,Toyota,Prius,5.7,9012,Manual,Hybrid,First,15699.79
2024,Toyota,Prius,2.5,124999,Manual,Hybrid,Second,15794.3
2014,Toyota,Prius,2.0,47976,Automatic,Hybrid,Second,9212.97
2024,Toyota,Prius,2.0,32734,Automatic,Electric,Third,18713.96
2020,Toyota,Prius,1.8,93025,Automatic,Diesel,Second,12474.67
2020,Toyota,Prius,4.0,16673,Automatic,Electric,First,26020.81
2019,Toyota,Prius,5.7,26669,Automatic,Diesel,First,22204.6
2020,Toyota,Prius,2.0,107056,Automatic,Diesel,First,15222.37
2022,Toyota,Prius,2.5,37084,Manual,Diesel,Third,13889.58
2021,Toyota,Prius,2.0,106314,Manual,Diesel,First,14770.48
2019,Toyota,Prius,2.0,67174,Automatic,Electric,Second,17957.33
2018,Toyota,Prius,4.0,19014,Automatic,Hybrid,Third,12826.23
2023,Toyota,Prius,2.0,77696,Manual,Petrol,First,17232.44
2014,Toyota,Prius,2.5,127457,Manual,Petrol,Third,2000.0
2021,Toyota,Prius,1.8,58754,Automatic,Hybrid,Second,16481.78
2022,Toyota,Prius,4.0,57253,Manual,Hybrid,First,21709.15
2013,Toyota,Prius,3.5,17210,Automatic,Hybrid,First,12617.25
2016,Toyota,Prius,4.0,75240,Manual,Diesel,First,10808.85
2024,Toyota,Prius,2.5,7255,Automatic,Hybrid,Second,23586.5
2024,Toyota,Prius,4.0,48113,Automatic,Diesel,Second,21672.68
2014,Toyota,Prius,3.5,22201,Manual,Petrol,Third,6794.16
2020,Toyota,Prius,5.7,47843,Manual,Hybrid,First,24150.43
2021,Toyota,Prius,2.0,120181,Manual,Petrol,Third,8275.21
2024,Toyota,Prius,3.5,13754,Manual,Diesel,First,24812.32
2019,Toyota,Prius,3.5,58922,Manual,Diesel,First,16371.91
2013,Toyota,Prius,1.8,85205,Automatic,Hybrid,Second,7429.72
2018,Toyota,Prius,2.0,94878,Manual,Petrol,First,10098.24
2014,Toyota,Prius,4.0,121413,Manual,Petrol,Third,5235.46
2014,Toyota,Prius,4.0,127481,Automatic,Petrol,Second,6709.11
2023,Toyota,Prius,2.5,41067,Manual,Electric,Second,20907.5
2016,Toyota,Prius,2.0,105710,Manual,Electric,Second,10164.04
2017,Toyota,Prius,3.5,64929,Manual,Electric,First,16831.44
2022,Toyota,Prius,5.7,28169,Automatic,Electric,Second,25504.35
2016,Toyota,Prius,5.7,76800,Automatic,Petrol,Third,11266.19
2014,Toyota,Prius,2.5,23609,Automatic,Diesel,Second,9145.28
2021,Toyota,Prius,2.0,77520,Automatic,Diesel,First,16772.65
2016,Toyota,Prius,5.7,34552,Manual,Hybrid,Second,14910.1
2015,Toyota,Prius,1.8,26429,Automatic,Petrol,First,10641.44
2014,Toyota,Prius,4.0,108441,Manual,Petrol,Third,5135.88
2024,Toyota,Prius,4.0,77270,Manual,Hybrid,Second,20799.54
2024,Toyota,Prius,5.7,120407,Automatic,Electric,Second,22507.87
2015,Toyota,Prius,4.0,45913,Manual,Petrol,Second,10330.75
2023,Toyota,Prius,2.0,49332,Automatic,Hybrid,Third,15479.98
2024,Toyota,Prius,1.8,100539,Manual,Electric,First,21406.22
2017,Toyota,Prius,3.5,44779,Automatic,Hybrid,Second,13628.44
2016,Toyota,Prius,5.7,102071,Automatic,Electric,Third,13410.69
2023,Toyota,Prius,3.5,30605,Manual,Electric,First,26142.19
2019,Toyota,Prius,2.0,66037,Automatic,Petrol,Second,11433.11
2018,Toyota,Prius,4.0,26177,Automatic,Diesel,Third,11503.44
2022,Toyota,Prius,2.0,116132,Automatic,Petrol,Second,13964.17
2017,Toyota,Prius,4.0,3671,Manual,Petrol,Third,11558.38
2017,Toyota,Prius,3.5,123575,Automatic,Petrol,Second,8161.71
2016,Toyota,Prius,2.0,40487,Manual,Diesel,Third,6181.66
2018,Toyota,Prius,2.0,58316,Manual,Petrol,First,9655.15
